f_number;thm_prm;feature;importance
7484;thm;=(k8_relset_1(A,A,A,k7_relset_1(A,A,A,A)),A);561
3793;thm;r4_wellord1-V;561
3942;thm;=(k3_tarski(A),k1_xboole_0);560
1284;thm;r1_orders_2(k7_lattice3(A),k8_lattice3(A,A),k8_lattice3(A,A));560
13092;prm;m1_subset_1-k3_zfmisc_1;559
3277;thm;k2_funct_1-V;558
7875;thm;=(k7_relat_1(A,A),k1_xboole_0);558
6096;thm;k1_funct_2(A,A);557
2272;thm;=(k2_zfmisc_1(A,A),k2_zfmisc_1(A,A));557
18150;prm;=-k4_lattices;556
11487;prm;k4_xboole_0-k1_xboole_0;556
210;thm;k4_relset_1;555
12693;prm;r1_tarski(A,k3_tarski(A));554
11178;prm;k7_relset_1;552
17057;prm;=(A,k5_relat_1(A,A));551
4810;thm;v1_funct_1(k2_funct_1(A));551
11686;prm;m1_subset_1(k7_setfam_1(A,A),k1_zfmisc_1(k1_zfmisc_1(A)));549
13976;prm;k4_subset_1(A,A,A);548
929;thm;v23_waybel_0(A,A,A);548
13091;prm;v11_lattices;547
13202;prm;=(A,k4_lattices(A,A,A));545
7624;thm;k13_lattice3(A,A,A);545
5784;thm;=-k2_funct_1;544
11457;prm;v15_lattices(A);543
851;thm;k4_subset_1(u1_struct_0(A),k1_tops_1(A,A),k1_tops_1(A,A));542
1368;thm;v2_compts_1-V;542
18822;prm;k4_xboole_0-k4_xboole_0;541
16696;prm;r2_hidden-k2_relat_1;540
1836;thm;k2_xboole_0(k1_tarski(A),A);540
1603;thm;v8_relat_2(A);539
12079;prm;r3_lattices(A,A,A);538
11825;prm;k2_relset_1-V;538
8602;thm;k2_funct_1;537
259;thm;v1_partfun1(A,A);536
5748;thm;k2_xboole_0(k3_enumset1(A,A,A,A,A),k1_enumset1(A,A,A));536
9870;thm;=-k5_relat_1;534
3807;thm;=-k6_subset_1;534
320;thm;k2_tops_1-k2_tops_1;534
5420;thm;=(A,k6_subset_1(A,A));532
3545;thm;r3_lattices(A,A,k7_lattices(A,A));530
16391;prm;k2_subset_1(A);530
3566;thm;m1_pre_topc-k1_tsep_1;529
12164;prm;=(k3_subset_1(A,A),k4_xboole_0(A,A));528
16953;prm;v6_lattices(A);528
12674;prm;r1_tarski(k1_relat_1(A),A);528
703;thm;=(k8_mcart_1(A,A,A,A,A),A);527
5128;thm;=-k11_relat_1;526
