f_number;thm_prm;feature;importance
177;thm;k5_xboole_0(k5_xboole_0(A,A),k3_xboole_0(A,A));0.14831005062075775
13216;prm;r2_hidden-u1_struct_0;0.14813989100000002
7505;thm;=(A,k1_tarski(A));0.14811546220327115
14158;prm;k3_mcart_1(A,A,A);0.14806505785185198
1493;thm;=(k2_struct_0(A),k4_subset_1(u1_struct_0(A),A,A));0.14791761999999997
867;thm;=(k1_relat_1(A),k2_relat_1(A));0.14773735588235293
9479;thm;r1_tarski(k6_subset_1(k10_relat_1(A,A),k10_relat_1(A,A)),k10_relat_1(A,k6_subset_1(A,A)));0.14772015
4531;thm;r2_lattice3;0.14763098677639774
9411;thm;k4_subset_1(k1_zfmisc_1(u1_struct_0(A)),A,A);0.14760908062176153
6531;thm;k3_xboole_0-k2_xboole_0;0.14742764435294115
12876;prm;=(k3_tarski(k2_tarski(A,A)),k2_xboole_0(A,A));0.14695861500000004
17670;prm;=(k5_relat_1(A,A),A);0.1469196424022347
1155;thm;v3_relat_1(A);0.14669002553191487
10396;prm;k2_zfmisc_1(A,A);0.1466406696957593
6029;thm;k3_enumset1;0.1465685682612351
14892;prm;=(A,k1_xboole_0);0.14647673689287444
12003;prm;m1_subset_1(k9_subset_1(A,A,A),k1_zfmisc_1(A));0.14631320035175874
14019;prm;r1_tmap_1(A,A,k2_tmap_1(A,A,A,A),A);0.14626327797614683
17684;prm;=(k4_xboole_0(k2_xboole_0(A,A),A),k2_xboole_0(k4_xboole_0(A,A),k4_xboole_0(A,A)));0.146176447826087
10775;prm;k2_xboole_0(k2_tarski(A,A),k2_tarski(A,A));0.14603972069736845
5221;thm;k1_wellord2-V;0.14583023990933325
32;thm;k5_setfam_1-V;0.14577185820360822
4853;thm;k2_xboole_0(A,k1_tarski(A));0.1456992800244495
4118;thm;k2_xboole_0-k3_enumset1;0.14564341720077215
18630;prm;r1_tarski(A,k3_xboole_0(A,A));0.14551674004840873
33;thm;k9_subset_1;0.14542477638850862
7340;thm;v1_finset_1-k7_setfam_1;0.14539072727272728
14888;prm;k2_tmap_1(A,A,A,A);0.14537383973560175
10924;prm;=-k7_mcart_1;0.14537091
1079;thm;v3_tops_1(k4_subset_1(u1_struct_0(A),A,A),A);0.145309146936937
6733;thm;=(k5_enumset1(A,A,A,A,A,A,A),k2_enumset1(A,A,A,A));0.14528003181818183
17098;prm;=(k2_tsep_1(A,A,A),g1_pre_topc(u1_struct_0(A),u1_pre_topc(A)));0.1452571909090909
10288;prm;v1_relat_1(k3_xboole_0(A,A));0.14512241100746284
19999;prm;=(A,k1_pre_topc(A,A));0.14495907391304338
4883;thm;m2_connsp_2(A,A,k6_domain_1(u1_struct_0(A),A));0.14490210916230367
14280;prm;=(k2_partfun1(A,A,A,A),A);0.1448844969740932
19875;prm;=-k2_orders_2;0.14481792903225807
15828;prm;=(A,k1_relat_1(A));0.14466310590692635
15330;prm;=(k7_enumset1(A,A,A,A,A,A,A,A,A),k2_xboole_0(k2_enumset1(A,A,A,A),k3_enumset1(A,A,A,A,A)));0.14456070000000001
3636;thm;=(k8_relat_1(k3_xboole_0(A,A),A),k3_xboole_0(k8_relat_1(A,A),k8_relat_1(A,A)));0.14440782090909093
7825;thm;=(A,k2_struct_0(A));0.1443642879999999
3594;thm;=(A,k2_funct_1(A));0.14392034523376626
735;thm;r1_tarski(k10_relat_1(A,k3_xboole_0(A,A)),k3_xboole_0(k10_relat_1(A,A),k10_relat_1(A,A)));0.1438877339130435
3292;thm;v1_tops_2(A,A);0.14386215332325994
13433;prm;k3_yellow_0;0.14381807454545456
568;thm;r1_tarski-k7_setfam_1;0.1437502742240664
4440;thm;r1_tarski(k9_relat_1(A,A),A);0.14370649247311834
7736;thm;=(k4_xboole_0(A,A),k5_xboole_0(A,k3_xboole_0(A,A)));0.1436778
7976;thm;k2_tarski-k1_tarski;0.14358087220512822
